KPC2	KPC3	KPC	ST	Region	CRISPR-IV-A3	AcrIE8.1	AcrIE9.2	AcrIF11
0	0	Negative	ST147	Eastern_Europe	Negative	Negative	Positive	Negative
0	0	Negative	ST147	Other	Positive	Negative	Positive	Negative
0	0	Negative	ST392	Other	Negative	Positive	Positive	Negative
0	0	Negative	ST392	Other	Negative	Positive	Positive	Negative
0	0	Negative	ST147	Other	Negative	Negative	Negative	Positive
0	0	Negative	ST147	Other	Negative	Negative	Negative	Negative
0	0	Negative	ST147	Northern_America	Positive	Negative	Positive	Negative
0	0	Negative	ST147	Northern_America	Positive	Negative	Positive	Negative
0	0	Negative	ST147	Other	Negative	Negative	Negative	Positive
0	0	Negative	ST147	Northern_America	Positive	Negative	Positive	Negative
0	0	Negative	ST147	Northern_America	Positive	Negative	Positive	Negative
0	0	Negative	ST147	Northern_America	Positive	Negative	Positive	Negative
0	0	Negative	ST147	Northern_America	Positive	Negative	Positive	Negative
0	0	Negative	ST147	Northern_America	Positive	Negative	Positive	Negative
0	0	Negative	ST147	Northern_America	Positive	Negative	Negative	Negative
0	0	Negative	ST147	Northern_America	Positive	Negative	Positive	Negative
0	0	Negative	ST392	Northern_America	Negative	Positive	Positive	Negative
1	0	KPC-2	ST392	Northern_America	Negative	Positive	Positive	Negative
0	0	Negative	ST147	Western_Asia	Positive	Negative	Negative	Positive
0	0	Negative	ST147	Western_Asia	Negative	Negative	Positive	Negative
0	0	Negative	ST147	Other	Negative	Positive	Negative	Negative
0	0	Negative	ST147	Southern_Europe	Negative	Negative	Positive	Negative
0	0	Negative	ST147	Other	Positive	Positive	Negative	Negative
0	0	Negative	ST147	Southern_Europe	Negative	Negative	Positive	Negative
0	0	Negative	ST147	Southern_Europe	Positive	Positive	Negative	Negative
0	0	Negative	ST147	Southern_Europe	Positive	Positive	Negative	Negative
1	0	KPC-2	ST147	Other	Negative	Negative	Positive	Negative
0	0	Negative	ST147	Southern_Europe	Positive	Positive	Negative	Negative
0	0	Negative	ST147	Southern_Europe	Negative	Negative	Negative	Negative
0	0	Negative	ST147	Southern_Europe	Negative	Negative	Negative	Negative
0	0	Negative	ST147	Southern_Europe	Negative	Positive	Negative	Negative
0	0	Negative	ST147	Northern_America	Negative	Negative	Positive	Negative
0	0	Negative	ST147	Western_Asia	Negative	Negative	Negative	Negative
0	0	Negative	ST147	Other	Positive	Negative	Positive	Negative
0	0	Negative	ST147	Other	Negative	Negative	Negative	Negative
0	0	Negative	ST147	Other	Positive	Negative	Negative	Negative
0	0	Negative	ST147	Other	Negative	Positive	Negative	Positive
0	0	Negative	ST147	Northern_America	Negative	Negative	Negative	Negative
0	0	Negative	ST147	South-eastern_Asia	Negative	Positive	Positive	Negative
0	0	Negative	ST147	Eastern_Europe	Negative	Negative	Negative	Negative
1	0	KPC-2	ST392	Northern_America	Negative	Positive	Positive	Negative
0	0	Negative	ST147	Southern_Europe	Negative	Negative	Positive	Negative
0	0	Negative	ST147	Southern_Europe	Negative	Negative	Negative	Negative
0	0	Negative	ST273	Other	Negative	Negative	Positive	Negative
0	0	Negative	ST147	Eastern_Europe	Negative	Positive	Positive	Negative
0	0	Negative	ST273	Other	Negative	Negative	Negative	Negative
0	0	Negative	ST392	Southern_Europe	Negative	Positive	Positive	Negative
0	0	Negative	ST147	Eastern_Europe	Negative	Positive	Positive	Negative
0	0	Negative	ST147	Eastern_Europe	Negative	Negative	Positive	Negative
0	0	Negative	ST147	Eastern_Europe	Negative	Positive	Positive	Negative
0	0	Negative	ST147	Western_Asia	Negative	Negative	Positive	Negative
0	0	Negative	ST147	Southern_Europe	Negative	Positive	Negative	Negative
0	0	Negative	ST147	Northern_America	Positive	Negative	Negative	Negative
0	0	Negative	ST147	Western_Asia	Negative	Negative	Positive	Negative
0	0	Negative	ST147	Western_Asia	Positive	Negative	Negative	Negative
0	0	Negative	ST392	Other	Negative	Positive	Positive	Negative
0	0	Negative	ST147	Western_Asia	Negative	Negative	Positive	Negative
0	0	Negative	ST147	Other	Negative	Negative	Positive	Negative
0	0	Negative	ST147	Northern_America	Negative	Negative	Positive	Negative
0	0	Negative	ST147	Northern_America	Positive	Negative	Positive	Negative
0	0	Negative	ST147	Southern_Europe	Negative	Negative	Positive	Negative
0	0	Negative	ST392	Northern_America	Negative	Positive	Positive	Negative
0	0	Negative	ST147	Northern_America	Negative	Negative	Positive	Negative
0	0	Negative	ST147	Northern_America	Negative	Negative	Positive	Negative
0	0	Negative	ST392	Northern_America	Negative	Positive	Positive	Negative
0	0	Negative	ST392	Northern_America	Negative	Positive	Positive	Negative
0	0	Negative	ST392	Southern_Europe	Negative	Positive	Positive	Negative
0	0	Negative	ST147	Southern_Europe	Negative	Negative	Positive	Negative
