CTX-M	KPC	NDM	OXA-48-like	Klocus	Yersiniabactin	ST	Sample	Region	QRDR	CRISPR-IE	CRISPR-IV-A3	AcrIE8.1	AcrIE9.2	AcrIF11
1	0	1	0	KL64	Negative	ST147	Rectal swab or stool	Eastern_Europe	GyrA-83I;ParC-80I	Positive	Negative	Negative	Positive	Negative
1	0	0	0	KL64	Negative	ST147	Blood	Other	GyrA-83I;ParC-80I	Positive	Positive	Negative	Positive	Negative
1	0	0	0	KL27	Negative	ST392	Other	Other	GyrA-83I;ParC-80I	Positive	Negative	Positive	Positive	Negative
1	0	0	0	KL27	Negative	ST392	Other	Other	GyrA-83I;ParC-80I	Positive	Negative	Positive	Positive	Negative
1	0	1	1	KL64	ybt 10; ICEKp4	ST147	Other	Other	GyrA-83I;ParC-80I	Positive	Negative	Negative	Negative	Positive
1	0	1	0	Other	Negative	ST147	Other	Other	GyrA-83I;ParC-80I	Positive	Negative	Negative	Negative	Negative
0	0	1	0	KL64	Negative	ST147	Rectal swab or stool	Northern_America	GyrA-83I;ParC-80I	Positive	Positive	Negative	Positive	Negative
0	0	1	0	KL64	Negative	ST147	Rectal swab or stool	Northern_America	GyrA-83I;ParC-80I	Positive	Positive	Negative	Positive	Negative
1	0	1	1	KL64	ybt 10; ICEKp4	ST147	Other	Other	GyrA-83I;ParC-80I	Positive	Negative	Negative	Negative	Positive
0	0	1	0	KL64	Negative	ST147	Rectal swab or stool	Northern_America	GyrA-83I;GyrA-87N;ParC-80I	Positive	Positive	Negative	Positive	Negative
0	0	1	0	KL64	Negative	ST147	Rectal swab or stool	Northern_America	GyrA-83I;ParC-80I	Positive	Positive	Negative	Positive	Negative
0	0	1	0	KL64	Negative	ST147	Rectal swab or stool	Northern_America	GyrA-83I;ParC-80I	Positive	Positive	Negative	Positive	Negative
0	0	1	0	KL64	Negative	ST147	Rectal swab or stool	Northern_America	GyrA-83I;GyrA-87N;ParC-80I	Positive	Positive	Negative	Positive	Negative
0	1	1	0	KL64	Negative	ST147	Rectal swab or stool	Northern_America	GyrA-83I;ParC-80I	Positive	Positive	Negative	Positive	Negative
0	0	1	0	KL64	Negative	ST147	Rectal swab or stool	Northern_America	GyrA-83I;GyrA-87N;ParC-80I	Positive	Positive	Negative	Positive	Negative
0	0	1	0	KL64	Negative	ST147	Rectal swab or stool	Northern_America	GyrA-83I;ParC-80I	Positive	Positive	Negative	Negative	Negative
0	1	1	0	KL64	Negative	ST147	Rectal swab or stool	Northern_America	GyrA-83I;ParC-80I	Positive	Positive	Negative	Positive	Negative
0	0	1	0	KL64	Negative	ST147	Rectal swab or stool	Northern_America	GyrA-83I;ParC-80I	Positive	Positive	Negative	Positive	Negative
1	0	0	0	KL27	Negative	ST392	Respiratory	Northern_America	GyrA-83I;ParC-80I	Positive	Negative	Positive	Positive	Negative
