ST	Region	CRISPR-IV-A3	AcrIE8.1	AcrIE9.2	AcrIF11	SelfTarget_IE	SelfTarget_IVA
ST147	Other	Positive	Negative	Positive	Negative	1	0
ST147	Northern_America	Positive	Negative	Positive	Negative	1	0
ST147	Northern_America	Positive	Negative	Positive	Negative	1	0
ST147	Northern_America	Positive	Negative	Positive	Negative	1	1
ST147	Northern_America	Positive	Negative	Positive	Negative	1	0
ST147	Northern_America	Positive	Negative	Positive	Negative	1	0
ST147	Northern_America	Positive	Negative	Positive	Negative	1	0
ST147	Northern_America	Positive	Negative	Positive	Negative	1	0
ST147	Northern_America	Positive	Negative	Positive	Negative	1	0
ST147	Northern_America	Positive	Negative	Negative	Negative	0	0
ST147	Northern_America	Positive	Negative	Positive	Negative	1	1
ST147	Northern_America	Positive	Negative	Positive	Negative	1	0
ST147	Western_Asia	Positive	Negative	Negative	Positive	0	1
ST147	Other	Positive	Positive	Negative	Negative	1	0
ST147	Southern_Europe	Positive	Positive	Negative	Negative	1	1
ST147	Southern_Europe	Positive	Positive	Negative	Negative	1	1
ST147	Southern_Europe	Positive	Positive	Negative	Negative	1	1
ST147	Other	Positive	Negative	Positive	Negative	1	1
ST147	Other	Positive	Negative	Negative	Negative	0	1
ST147	Northern_America	Positive	Negative	Negative	Negative	0	0
ST147	Western_Asia	Positive	Negative	Negative	Negative	0	0
ST147	Northern_America	Positive	Negative	Positive	Negative	1	1
ST147	Southern_Europe	Positive	Negative	Positive	Negative	1	1
ST147	Southern_Europe	Positive	Positive	Negative	Negative	1	1
ST273	Other	Positive	Positive	Positive	Negative	1	0
ST147	Northern_America	Positive	Negative	Negative	Negative	0	1
ST147	Western_Europe	Positive	Negative	Negative	Negative	0	1
ST147	Western_Europe	Positive	Negative	Negative	Negative	0	1
ST147	Western_Europe	Positive	Negative	Negative	Negative	0	1
ST147	Western_Europe	Positive	Negative	Negative	Negative	0	1
ST147	Western_Europe	Positive	Negative	Negative	Negative	0	1
ST147	Western_Europe	Positive	Negative	Negative	Negative	0	1
ST392	Other	Positive	Positive	Positive	Negative	1	1
ST147	Northern_America	Positive	Negative	Negative	Negative	0	0
ST147	Eastern_Europe	Positive	Positive	Positive	Negative	1	0
ST147	Eastern_Europe	Positive	Negative	Negative	Negative	0	1
ST147	Northern_America	Positive	Negative	Positive	Negative	1	0
ST147	Northern_America	Positive	Negative	Positive	Negative	1	1
ST147	Eastern_Europe	Positive	Positive	Positive	Negative	1	0
ST147	Northern_America	Positive	Negative	Positive	Negative	1	0
ST147	Northern_America	Positive	Negative	Positive	Negative	1	1
ST147	Northern_America	Positive	Negative	Negative	Negative	0	1
ST147	Northern_America	Positive	Negative	Positive	Negative	1	0
ST147	Southern_Europe	Positive	Negative	Positive	Negative	1	0
ST392	Other	Positive	Positive	Positive	Negative	1	0
ST392	Northern_America	Positive	Positive	Negative	Negative	1	0
ST147	Western_Europe	Positive	Negative	Positive	Negative	1	0
ST147	Other	Positive	Negative	Negative	Negative	0	1
ST147	Eastern_Europe	Positive	Positive	Positive	Negative	1	0
ST147	Other	Positive	Negative	Positive	Negative	1	1
ST147	Other	Positive	Negative	Positive	Negative	1	1
ST392	Northern_America	Positive	Positive	Positive	Negative	1	0
ST147	Other	Positive	Positive	Negative	Negative	1	1
ST147	Other	Positive	Positive	Positive	Negative	1	1
ST147	Northern_America	Positive	Negative	Positive	Negative	1	0
ST147	Northern_America	Positive	Negative	Positive	Negative	1	1
